timestamp,AccelerationX,AccelerationY,AccelerationZ,MagneticFieldX,MagneticFieldY,MagneticFieldZ,Z-AxisAgle(Azimuth),X-AxisAngle(Pitch),Y-AxisAngle(Roll),GyroX,GyroY,GyroZ,id,id_group,id_class,AccelerationX_lag1,AccelerationX_lag2,AccelerationX_lag3,AccelerationX_lag5,GyroX_lag1,GyroX_lag2,GyroX_lag3,GyroX_lag5
1422629707459,5.51,-7.23,3.927,-13.94,30.655,10.115,356.397,65.895,32.242,0.207,0.038,0.035,34.0,-1.0,0,5.414,5.415,5.404,5.439,0.072,0.042,-0.006,-0.069
1422629707559,5.438,-7.36,3.57,-16.129,31.305,10.648,356.331,65.49,32.634,0.014,-0.017,-0.004,34.0,-1.0,0,5.51,5.414,5.415,5.468,0.207,0.072,0.042,0.155
1422629707659,5.487,-7.328,3.831,-12.975,32.08,9.534,356.708,65.157,32.78,-0.036,0.024,-0.02,34.0,-1.0,0,5.438,5.51,5.414,5.404,0.014,0.207,0.072,-0.006
1422629707759,5.382,-7.308,3.786,-14.752,30.942,9.377,357.032,64.829,32.873,-0.022,0.025,-0.015,34.0,-1.0,0,5.487,5.438,5.51,5.415,-0.036,0.014,0.207,0.042
1422629707859,5.396,-7.333,3.797,-15.295,31.308,10.744,357.663,64.332,32.994,-0.015,0.009,-0.021,34.0,-1.0,0,5.382,5.487,5.438,5.414,-0.022,-0.036,0.014,0.072
1422629711159,5.682,-6.53,4.149,-23.213,27.322,8.847,17.66,59.841,35.206,0.082,0.199,-0.094,94.0,-1.0,0,5.396,5.382,5.487,5.51,-0.015,-0.022,-0.036,0.207
1422629711259,5.845,-6.89,3.843,-22.932,26.982,7.213,16.852,61.281,35.404,0.012,-0.18,0.044,94.0,-1.0,0,5.682,5.396,5.382,5.438,0.082,-0.015,-0.022,0.014
1422629711360,5.6,-6.952,4.211,-22.42,26.469,7.822,16.124,61.633,35.564,-0.12,-0.282,0.01,94.0,-1.0,0,5.845,5.682,5.396,5.487,0.012,0.082,-0.015,-0.036
1422629711459,6.019,-6.768,4.069,-21.591,26.801,7.901,13.86,63.158,36.769,-0.12,-0.282,0.01,94.0,-1.0,0,5.6,5.845,5.682,5.382,-0.12,0.012,0.082,-0.022
1422629711559,6.143,-6.606,3.992,-22.073,26.472,8.041,14.016,62.554,37.278,0.08,0.017,-0.07,94.0,-1.0,0,6.019,5.6,5.845,5.396,-0.12,-0.12,0.012,-0.015
1422629711659,5.456,-6.567,4.076,-22.417,26.72,9.457,14.37,62.202,37.344,-0.15,-0.034,-0.031,94.0,-1.0,0,6.143,6.019,5.6,5.682,0.08,-0.12,-0.12,0.082
1422629711759,5.93,-6.846,4.176,-21.558,27.306,7.707,14.866,62.305,37.183,-0.047,-0.011,0.086,94.0,-1.0,0,5.456,6.143,6.019,5.845,-0.15,0.08,-0.12,0.012
1422629711859,5.961,-6.931,4.109,-22.417,27.151,8.705,14.975,61.969,36.855,-0.11,0.056,0.103,94.0,-1.0,0,5.93,5.456,6.143,5.6,-0.047,-0.15,0.08,-0.12
1422629711960,5.421,-7.115,4.066,-21.642,28.259,9.624,15.078,62.093,36.142,-0.109,-0.01,0.021,94.0,-1.0,0,5.961,5.93,5.456,6.019,-0.11,-0.047,-0.15,-0.12
1422629712059,5.718,-7.006,3.907,-22.519,28.055,10.025,15.14,62.916,35.81,-0.119,-0.037,0.032,94.0,-1.0,0,5.421,5.961,5.93,6.143,-0.109,-0.11,-0.047,0.08
1422629712159,5.796,-7.113,3.826,-22.417,28.171,9.7,15.077,62.808,35.918,-0.0,-0.039,-0.012,94.0,-1.0,0,5.718,5.421,5.961,5.456,-0.119,-0.109,-0.11,-0.15
1422629712259,5.766,-7.0,3.768,-21.73,27.151,10.364,15.142,62.73,35.991,-0.0,-0.039,-0.012,94.0,-1.0,0,5.796,5.718,5.421,5.93,-0.0,-0.119,-0.109,-0.047
1422629712359,5.914,-7.014,3.749,-21.967,26.796,9.746,15.424,62.918,36.315,-0.028,0.007,-0.025,94.0,-1.0,0,5.766,5.796,5.718,5.961,-0.0,-0.0,-0.119,-0.11
1422629712459,5.87,-7.027,3.729,-22.932,25.623,11.523,15.504,62.93,36.344,-0.028,0.007,-0.025,94.0,-1.0,0,5.914,5.766,5.796,5.421,-0.028,-0.0,-0.0,-0.109
1422629712559,5.723,-7.02,3.691,-22.073,27.151,10.364,15.929,62.801,36.324,-0.067,0.016,-0.001,94.0,-1.0,0,5.87,5.914,5.766,5.718,-0.028,-0.028,-0.0,-0.119
1422629712660,5.838,-7.083,3.644,-22.406,26.328,9.666,15.983,63.057,36.22,-0.049,-0.005,0.009,94.0,-1.0,0,5.723,5.87,5.914,5.796,-0.067,-0.028,-0.028,-0.0
1422629712759,5.902,-7.095,3.546,-23.08,28.004,9.935,15.986,63.157,36.298,-0.049,-0.005,0.009,94.0,-1.0,0,5.838,5.723,5.87,5.766,-0.049,-0.067,-0.028,-0.0
1422629712859,5.869,-7.163,3.569,-22.073,26.132,8.041,16.055,63.313,36.455,-0.03,-0.019,-0.033,94.0,-1.0,0,5.902,5.838,5.723,5.914,-0.049,-0.049,-0.067,-0.028
1422629712959,5.844,-7.097,3.502,-21.777,26.517,9.679,16.102,63.408,36.49,-0.03,-0.019,-0.033,94.0,-1.0,0,5.869,5.902,5.838,5.87,-0.03,-0.049,-0.049,-0.028
1422629713059,5.903,-7.099,3.551,-22.314,26.761,10.597,16.008,63.304,36.691,0.043,-0.013,-0.027,94.0,-1.0,0,5.844,5.869,5.902,5.723,-0.03,-0.03,-0.049,-0.067
1422629713159,5.935,-7.079,3.534,-21.73,26.472,10.031,15.995,63.325,36.72,0.073,-0.035,-0.026,94.0,-1.0,0,5.903,5.844,5.869,5.838,0.043,-0.03,-0.03,-0.049
1422629713259,5.916,-6.991,3.528,-21.141,26.581,9.238,15.793,62.996,36.993,0.036,-0.042,-0.022,94.0,-1.0,0,5.935,5.903,5.844,5.902,0.073,0.043,-0.03,-0.049
1422629713359,5.951,-6.981,3.614,-23.233,26.089,9.743,15.385,62.922,37.251,0.006,-0.029,-0.011,94.0,-1.0,0,5.916,5.935,5.903,5.869,0.036,0.073,0.043,-0.03
1422629713459,5.974,-6.994,3.631,-21.73,26.132,9.7,15.385,62.937,37.282,-0.085,-0.027,-0.005,94.0,-1.0,0,5.951,5.916,5.935,5.844,0.006,0.036,0.073,-0.03
1422629713559,5.979,-7.034,3.463,-22.589,26.982,10.529,15.366,63.615,37.381,-0.085,-0.027,-0.005,94.0,-1.0,0,5.974,5.951,5.916,5.903,-0.085,0.006,0.036,0.043
1422629713659,5.979,-7.034,3.463,-22.919,26.813,10.159,15.258,64.133,37.39,-0.106,-0.025,0.005,94.0,-1.0,0,5.979,5.974,5.951,5.935,-0.085,-0.085,0.006,0.073
1422629713759,5.967,-7.082,3.498,-21.043,26.813,10.695,15.209,63.763,37.256,0.037,-0.015,0.012,94.0,-1.0,0,5.979,5.979,5.974,5.916,-0.106,-0.085,-0.085,0.036
1422629713859,5.974,-7.07,3.549,-22.916,27.647,9.225,15.143,63.698,37.253,0.037,-0.015,0.012,94.0,-1.0,0,5.967,5.979,5.979,5.951,0.037,-0.106,-0.085,0.006
1422629713959,5.995,-7.01,3.529,-22.246,27.185,10.265,15.143,63.698,37.253,0.02,-0.019,-0.005,94.0,-1.0,0,5.974,5.967,5.979,5.974,0.037,0.037,-0.106,-0.085
1422629714060,6.006,-7.031,3.525,-22.246,25.623,10.197,15.09,63.421,37.353,0.02,-0.019,-0.005,94.0,-1.0,0,5.995,5.974,5.967,5.979,0.02,0.037,0.037,-0.085
1422629714159,5.93,-6.934,3.504,-21.519,27.62,10.197,15.299,63.015,37.428,0.066,0.024,-0.025,94.0,-1.0,0,6.006,5.995,5.974,5.979,0.02,0.02,0.037,-0.106
1422629714259,5.93,-6.934,3.504,-21.968,27.881,10.341,15.27,62.958,37.46,0.022,0.002,-0.022,94.0,-1.0,0,5.93,6.006,5.995,5.967,0.066,0.02,0.02,0.037
1422629714359,5.953,-6.951,3.588,-21.562,26.707,10.6,15.318,62.863,37.477,-0.005,-0.001,-0.006,94.0,-1.0,0,5.93,5.93,6.006,5.974,0.022,0.066,0.02,0.037
1422629714459,5.972,-6.94,3.569,-22.417,27.492,9.7,15.288,62.853,37.639,0.01,-0.012,-0.012,94.0,-1.0,0,5.953,5.93,5.93,5.995,-0.005,0.022,0.066,0.02
1422629714559,6.009,-6.888,3.496,-21.849,27.455,9.644,14.683,63.445,37.685,-0.08,-0.065,0.045,94.0,-1.0,0,5.972,5.953,5.93,6.006,0.01,-0.005,0.022,0.02
1422629714659,6.01,-7.126,3.584,-22.646,26.494,10.96,14.228,63.809,37.612,-0.08,-0.065,0.045,94.0,-1.0,0,6.009,5.972,5.953,5.93,-0.08,0.01,-0.005,0.066
1422629714759,6.01,-7.126,3.584,-22.246,25.623,11.523,14.233,63.65,37.565,0.001,-0.035,0.027,94.0,-1.0,0,6.01,6.009,5.972,5.93,-0.08,-0.08,0.01,0.022
1422629714859,5.966,-7.019,3.491,-22.849,26.978,10.95,14.136,63.628,37.601,0.038,-0.031,0.002,94.0,-1.0,0,6.01,6.01,6.009,5.953,0.001,-0.08,-0.08,-0.005
1422629714959,6.051,-6.983,3.458,-22.475,26.514,10.182,13.999,63.64,37.688,0.012,-0.017,-0.005,94.0,-1.0,0,5.966,6.01,6.01,5.972,0.038,0.001,-0.08,0.01
1422629715059,6.096,-6.925,3.696,-22.417,25.792,10.695,13.951,63.615,37.743,0.049,-0.049,0.003,94.0,-1.0,0,6.051,5.966,6.01,6.009,0.012,0.038,0.001,-0.08
1422629715159,7.039,-6.773,4.484,-21.571,27.524,10.504,13.874,61.974,38.224,0.049,-0.049,0.003,94.0,-1.0,0,6.096,6.051,5.966,6.01,0.049,0.012,0.038,-0.08
1422629715259,7.039,-6.773,4.484,-21.339,27.783,9.747,13.91,59.804,39.335,0.466,-0.097,-0.171,94.0,-1.0,0,7.039,6.096,6.051,6.01,0.049,0.049,0.012,0.001
1422629715359,5.536,-6.888,3.256,-22.417,26.472,7.71,13.624,59.027,40.471,0.232,-0.131,-0.186,94.0,-1.0,0,7.039,7.039,6.096,5.966,0.466,0.049,0.049,0.038
1422629715460,5.814,-6.369,3.464,-23.773,26.164,9.309,12.654,59.365,41.429,0.099,-0.215,-0.092,94.0,-1.0,0,5.536,7.039,7.039,6.051,0.232,0.466,0.049,0.012
1422629715560,6.485,-6.476,3.759,-22.932,25.925,9.277,12.33,59.538,41.498,0.023,-0.026,0.073,94.0,-1.0,0,5.814,5.536,7.039,6.096,0.099,0.232,0.466,0.049
1422629715660,6.517,-6.504,3.759,-21.552,27.536,9.358,11.61,59.728,41.012,0.023,-0.026,0.073,94.0,-1.0,0,6.485,5.814,5.536,7.039,0.023,0.099,0.232,0.049
1422629715758,6.492,-6.507,3.554,-21.191,27.492,8.943,11.61,59.728,41.012,-0.015,-0.024,0.033,94.0,-1.0,0,6.517,6.485,5.814,7.039,0.023,0.023,0.099,0.466
1422629717859,5.764,-6.917,3.9,-17.155,28.311,7.863,4.557,59.595,38.77,-0.068,-0.032,0.013,95.0,-1.0,0,6.492,6.517,6.485,5.536,-0.015,0.023,0.023,0.232
1422629717959,5.846,-6.983,3.81,-17.155,28.311,7.863,5.075,60.394,38.158,-0.078,-0.013,-0.012,95.0,-1.0,0,5.764,6.492,6.517,5.814,-0.068,-0.015,0.023,0.099
1422629718059,5.801,-6.957,3.819,-16.777,29.047,8.139,5.066,61.201,37.889,-0.073,-0.031,-0.003,95.0,-1.0,0,5.846,5.764,6.492,6.485,-0.078,-0.068,-0.015,0.023
1422629718159,5.893,-7.004,3.661,-16.974,27.591,9.322,4.766,62.132,37.739,-0.071,-0.041,0.008,95.0,-1.0,0,5.801,5.846,5.764,6.517,-0.073,-0.078,-0.068,0.023
1422629718260,5.895,-7.011,3.727,-17.781,29.361,7.877,4.849,62.296,37.691,-0.073,-0.034,-0.015,95.0,-1.0,0,5.893,5.801,5.846,6.492,-0.071,-0.073,-0.078,-0.015
1422629718359,6.061,-6.841,3.798,-17.561,28.346,8.705,4.849,62.296,37.691,-0.023,-0.008,-0.018,95.0,-1.0,0,5.895,5.893,5.801,5.764,-0.073,-0.071,-0.073,-0.068
1422629718460,6.109,-6.854,3.778,-17.662,29.756,8.424,4.873,62.224,37.802,-0.04,0.015,-0.006,95.0,-1.0,0,6.061,5.895,5.893,5.846,-0.023,-0.073,-0.071,-0.078
1422629718559,6.165,-6.847,3.757,-17.662,29.756,8.424,4.786,62.139,37.974,-0.014,0.005,-0.025,95.0,-1.0,0,6.109,6.061,5.895,5.801,-0.04,-0.023,-0.073,-0.073
1422629718659,6.093,-6.774,3.681,-17.421,29.352,9.526,5.087,61.697,38.225,-0.024,0.009,-0.035,95.0,-1.0,0,6.165,6.109,6.061,5.893,-0.014,-0.04,-0.023,-0.071
1422629718759,6.064,-6.812,3.673,-18.321,29.799,9.692,5.068,61.686,38.308,-0.009,0.015,-0.023,95.0,-1.0,0,6.093,6.165,6.109,5.895,-0.024,-0.014,-0.04,-0.073
1422629718859,6.146,-6.798,3.726,-17.607,28.308,8.78,5.288,61.543,38.428,-0.029,0.014,-0.025,95.0,-1.0,0,6.064,6.093,6.165,6.061,-0.009,-0.024,-0.014,-0.023
1422629718959,6.145,-6.729,3.78,-18.64,30.89,9.036,5.31,61.514,38.514,-0.026,0.013,-0.026,95.0,-1.0,0,6.146,6.064,6.093,6.109,-0.029,-0.009,-0.024,-0.04
1422629719059,6.153,-6.699,3.735,-18.153,28.831,9.904,5.349,61.472,38.593,-0.032,0.015,-0.027,95.0,-1.0,0,6.145,6.146,6.064,6.165,-0.026,-0.029,-0.009,-0.014
1422629719159,6.147,-6.698,3.684,-17.506,28.342,9.601,5.349,61.472,38.593,-0.042,0.009,-0.032,95.0,-1.0,0,6.153,6.145,6.146,6.093,-0.032,-0.026,-0.029,-0.024
1422629719260,6.126,-6.688,3.782,-18.811,30.04,9.203,5.523,61.516,38.81,-0.029,0.005,-0.019,95.0,-1.0,0,6.147,6.153,6.145,6.064,-0.042,-0.032,-0.026,-0.009
1422629719359,6.165,-6.758,3.747,-18.26,30.31,9.54,5.599,61.483,38.813,-0.03,-0.001,-0.009,95.0,-1.0,0,6.126,6.147,6.153,6.146,-0.029,-0.042,-0.032,-0.029
1422629719459,6.154,-6.742,3.746,-17.438,29.514,9.833,5.499,61.466,38.807,-0.013,-0.008,-0.009,95.0,-1.0,0,6.165,6.126,6.147,6.145,-0.03,-0.029,-0.042,-0.026
1422629719559,6.106,-6.754,3.706,-17.61,29.192,9.036,5.343,61.451,38.779,0.003,-0.01,0.002,95.0,-1.0,0,6.154,6.165,6.126,6.153,-0.013,-0.03,-0.029,-0.032
1422629719660,6.153,-6.746,3.764,-17.61,29.192,9.036,5.051,61.337,38.746,0.015,-0.007,0.006,95.0,-1.0,0,6.106,6.154,6.165,6.147,0.003,-0.013,-0.03,-0.042
1422629719760,6.167,-6.75,3.69,-17.96,28.505,9.695,4.847,61.337,38.781,0.001,-0.009,-0.005,95.0,-1.0,0,6.153,6.106,6.154,6.126,0.015,0.003,-0.013,-0.029
1422629719859,6.186,-6.727,3.718,-19.498,29.701,10.197,4.783,61.249,38.864,0.011,-0.01,-0.011,95.0,-1.0,0,6.167,6.153,6.106,6.165,0.001,0.015,0.003,-0.03
1422629719959,6.182,-6.715,3.695,-19.327,27.832,10.695,4.703,61.259,38.918,0.002,-0.012,-0.006,95.0,-1.0,0,6.186,6.167,6.153,6.154,0.011,0.001,0.015,-0.013
1422629720059,6.206,-6.689,3.724,-18.347,29.416,10.286,4.641,61.248,38.948,-0.011,-0.006,-0.001,95.0,-1.0,0,6.182,6.186,6.167,6.106,0.002,0.011,0.001,0.003
1422629720159,6.167,-6.738,3.73,-17.781,30.04,9.866,4.725,61.318,38.936,-0.014,-0.013,-0.002,95.0,-1.0,0,6.206,6.182,6.186,6.153,-0.011,0.002,0.011,0.015
1422629720259,6.169,-6.73,3.724,-17.781,30.04,9.866,4.645,61.314,38.935,0.005,-0.003,0.003,95.0,-1.0,0,6.167,6.206,6.182,6.167,-0.014,-0.011,0.002,0.001
1422629720359,6.192,-6.735,3.645,-18.582,28.642,9.203,4.312,61.345,38.943,0.007,-0.015,0.004,95.0,-1.0,0,6.169,6.167,6.206,6.186,0.005,-0.014,-0.011,0.011
1422629720459,6.2,-6.737,3.735,-18.509,28.239,9.769,4.324,61.354,38.966,-0.001,-0.009,-0.002,95.0,-1.0,0,6.192,6.169,6.167,6.182,0.007,0.005,-0.014,0.002
1422629720559,6.159,-6.75,3.678,-17.953,28.171,9.7,4.372,61.364,38.998,0.007,-0.012,-0.011,95.0,-1.0,0,6.2,6.192,6.169,6.206,-0.001,0.007,0.005,-0.011
1422629720659,6.153,-6.735,3.688,-18.872,30.208,9.37,4.331,61.361,38.965,0.001,-0.012,-0.004,95.0,-1.0,0,6.159,6.2,6.192,6.167,0.007,-0.001,0.007,-0.014
1422629720759,6.18,-6.749,3.684,-18.872,30.208,9.37,4.203,61.5,38.969,-0.01,-0.014,-0.005,95.0,-1.0,0,6.153,6.159,6.2,6.169,0.001,0.007,-0.001,0.005
1422629720860,6.188,-6.745,3.762,-18.843,29.289,9.566,4.252,61.386,38.983,-0.01,-0.014,-0.005,95.0,-1.0,0,6.18,6.153,6.159,6.192,-0.01,0.001,0.007,0.007
1422629720959,6.326,-6.591,3.822,-19.054,27.295,10.297,4.579,61.042,39.349,-0.028,0.015,-0.043,95.0,-1.0,0,6.188,6.18,6.153,6.2,-0.01,-0.01,0.001,-0.001
1422629723560,6.13,-6.727,3.808,-16.101,28.613,10.545,0.44,60.926,38.479,-0.022,-0.017,-0.036,35.0,-1.0,0,6.326,6.188,6.18,6.159,-0.028,-0.01,-0.01,0.007
1422629723659,6.064,-6.818,3.787,-17.934,29.391,10.013,0.959,61.2,38.468,-0.04,0.0,-0.018,35.0,-1.0,0,6.13,6.326,6.188,6.153,-0.022,-0.028,-0.01,0.001
1422629723759,6.101,-6.827,3.756,-17.012,28.543,9.38,0.899,61.273,38.411,-0.04,0.0,-0.018,35.0,-1.0,0,6.064,6.13,6.326,6.18,-0.04,-0.022,-0.028,-0.01
1422629723860,6.087,-6.878,3.563,-17.61,27.832,9.036,0.601,61.758,38.389,-0.023,-0.039,0.015,35.0,-1.0,0,6.101,6.064,6.13,6.188,-0.04,-0.04,-0.022,-0.01
1422629723959,6.098,-6.865,3.619,-16.174,29.225,9.789,0.286,62.142,38.425,-0.028,-0.05,0.008,35.0,-1.0,0,6.087,6.101,6.064,6.326,-0.023,-0.04,-0.04,-0.028
1422629724059,6.112,-6.837,3.581,-16.174,29.225,9.789,359.815,62.424,38.487,0.007,-0.078,0.028,35.0,-1.0,0,6.098,6.087,6.101,6.13,-0.028,-0.023,-0.04,-0.022
1422629724159,6.217,-6.77,3.71,-16.751,30.04,9.534,358.829,62.641,38.638,0.051,-0.175,0.053,35.0,-1.0,0,6.112,6.098,6.087,6.064,0.007,-0.028,-0.023,-0.04
1422629724259,6.11,-6.864,3.443,-15.738,28.609,9.357,357.968,62.901,38.729,0.139,-0.107,0.037,35.0,-1.0,0,6.217,6.112,6.098,6.101,0.051,0.007,-0.028,-0.04
1422629724359,6.147,-6.802,3.538,-16.602,29.509,8.185,356.375,63.157,39.07,0.006,-0.153,0.015,35.0,-1.0,0,6.11,6.217,6.112,6.087,0.139,0.051,0.007,-0.023
1422629724459,6.125,-6.823,3.584,-16.751,28.68,10.529,355.583,63.387,39.277,0.056,-0.169,0.016,35.0,-1.0,0,6.147,6.11,6.217,6.098,0.006,0.139,0.051,-0.028
1422629724559,6.262,-6.568,3.981,-16.15,29.434,10.449,355.479,63.084,39.374,-0.013,-0.106,0.017,35.0,-1.0,0,6.125,6.147,6.11,6.112,0.056,0.006,0.139,0.007
1422629724659,6.214,-6.762,3.924,-15.95,29.321,10.272,355.854,62.662,39.207,0.001,0.033,0.021,35.0,-1.0,0,6.262,6.125,6.147,6.217,-0.013,0.056,0.006,0.051
1422629724759,6.178,-6.805,3.637,-15.048,28.352,10.962,356.496,62.049,38.912,0.04,0.141,0.031,35.0,-1.0,0,6.214,6.262,6.125,6.11,0.001,-0.013,0.056,0.139
1422629724859,6.083,-6.766,3.503,-14.67,29.393,9.61,356.765,61.64,38.411,0.04,0.141,0.031,35.0,-1.0,0,6.178,6.214,6.262,6.147,0.04,0.001,-0.013,0.006
1422629724959,6.125,-6.758,3.603,-16.399,28.871,9.818,357.107,61.365,38.111,0.033,0.057,0.035,35.0,-1.0,0,6.083,6.178,6.214,6.125,0.04,0.04,0.001,0.056
1422629725059,6.034,-6.649,3.579,-14.43,29.701,8.824,356.714,61.34,38.001,0.033,0.057,0.035,35.0,-1.0,0,6.125,6.083,6.178,6.262,0.033,0.04,0.04,-0.013
1422629725159,5.723,-7.201,3.671,-16.194,29.758,8.778,356.172,61.407,37.384,0.031,0.042,0.113,35.0,-1.0,0,6.034,6.125,6.083,6.214,0.033,0.033,0.04,0.001
1422629725260,5.943,-6.999,3.656,-15.022,29.411,7.594,355.653,61.976,36.413,0.02,0.012,0.067,35.0,-1.0,0,5.723,6.034,6.125,6.178,0.031,0.033,0.033,0.04
1422629725359,5.702,-7.039,3.759,-14.49,29.5,8.878,355.551,62.011,36.194,0.02,0.012,0.067,35.0,-1.0,0,5.943,5.723,6.034,6.083,0.02,0.031,0.033,0.04
1422629725459,5.678,-6.835,3.745,-14.348,29.021,8.539,354.71,62.781,35.739,-0.081,-0.065,0.096,35.0,-1.0,0,5.702,5.943,5.723,6.125,0.02,0.02,0.031,0.033
1422629725559,5.813,-7.377,3.824,-13.136,30.966,8.942,354.124,63.396,35.545,-0.074,-0.086,0.072,35.0,-1.0,0,5.678,5.702,5.943,6.034,-0.081,0.02,0.02,0.033
1422629725665,5.799,-7.352,3.647,-14.838,31.477,7.736,353.825,63.575,35.635,0.043,-0.075,-0.016,35.0,-1.0,0,5.813,5.678,5.702,5.723,-0.074,-0.081,0.02,0.031
1422629725759,6.04,-7.033,3.758,-13.643,30.733,9.216,353.825,63.575,35.635,0.074,-0.055,-0.04,35.0,-1.0,0,5.799,5.813,5.678,5.943,0.043,-0.074,-0.081,0.02
1422629725860,5.849,-6.927,3.679,-13.922,32.062,9.283,353.532,62.726,36.321,0.162,0.003,-0.022,35.0,-1.0,0,6.04,5.799,5.813,5.702,0.074,0.043,-0.074,0.02
1422629725959,5.534,-6.954,3.741,-14.876,30.11,8.093,353.575,61.711,36.267,0.016,-0.049,0.04,35.0,-1.0,0,5.849,6.04,5.799,5.678,0.162,0.074,0.043,-0.081
1422629726059,5.726,-7.187,3.845,-14.52,29.871,9.036,353.418,62.031,36.079,-0.013,-0.069,0.016,35.0,-1.0,0,5.534,5.849,6.04,5.813,0.016,0.162,0.074,-0.074
1422629726159,5.788,-7.089,3.735,-13.469,30.13,7.73,353.158,62.352,36.07,-0.013,-0.069,0.016,35.0,-1.0,0,5.726,5.534,5.849,5.799,-0.013,0.016,0.162,0.043
1422629726259,5.824,-7.018,3.705,-13.538,30.698,8.751,352.998,62.228,36.349,0.007,-0.02,-0.03,35.0,-1.0,0,5.788,5.726,5.534,6.04,-0.013,-0.013,0.016,0.074
1422629726359,5.807,-7.031,3.751,-13.214,29.982,9.46,353.12,62.164,36.382,0.016,-0.021,-0.022,35.0,-1.0,0,5.824,5.788,5.726,5.849,0.007,-0.013,-0.013,0.162
1422629726459,5.801,-6.9,3.86,-14.52,31.23,8.374,353.38,61.82,36.477,0.016,-0.021,-0.022,35.0,-1.0,0,5.807,5.824,5.788,5.534,0.016,0.007,-0.013,0.016
1422629726559,5.865,-6.903,3.714,-13.153,29.108,10.112,353.176,61.745,36.54,0.006,-0.02,0.019,35.0,-1.0,0,5.801,5.807,5.824,5.726,0.016,0.016,0.007,-0.013
1422629726660,5.878,-6.94,3.717,-13.136,31.4,8.521,352.958,61.938,36.497,0.006,-0.02,0.019,35.0,-1.0,0,5.865,5.801,5.807,5.788,0.006,0.016,0.016,-0.013
1422629726760,5.863,-6.997,3.709,-14.005,31.061,8.871,352.656,62.212,36.507,-0.062,-0.035,0.02,35.0,-1.0,0,5.878,5.865,5.801,5.824,0.006,0.006,0.016,0.007
1422629726859,5.792,-7.08,3.948,-13.086,31.386,9.303,352.598,62.42,36.474,-0.068,-0.027,-0.004,35.0,-1.0,0,5.863,5.878,5.865,5.807,-0.062,0.006,0.006,0.016
1422629726959,5.799,-7.046,3.912,-13.246,30.06,10.37,353.674,62.562,36.267,-0.068,-0.027,-0.004,35.0,-1.0,0,5.792,5.863,5.878,5.801,-0.068,-0.062,0.006,0.016
1422629727059,5.982,-7.075,3.674,-13.661,29.701,8.871,354.253,62.661,36.587,-0.061,0.052,-0.085,35.0,-1.0,0,5.799,5.792,5.863,5.865,-0.068,-0.068,-0.062,0.006
1422629727159,5.935,-6.982,3.618,-15.115,30.635,10.106,354.632,62.447,36.737,-0.113,0.034,-0.074,35.0,-1.0,0,5.982,5.799,5.792,5.878,-0.061,-0.068,-0.068,0.006
1422629729696,6.355,-6.666,3.336,-16.751,27.22,11.292,359.802,62.727,40.435,0.104,0.004,-0.116,36.0,-1.0,0,5.935,5.982,5.799,5.863,-0.113,-0.061,-0.068,-0.062
